source: SEMrush > Organic Research > Pages (Top Pages) for newhomesource.com, 2026-07-13. Columns normalized from paste.
url	traffic	traffic_pct	keywords	llm_prompts	ref_domains	top_keyword	intent
www.newhomesource.com/communities/sc/myrtle-beach-area	991	0.24	100	3	7	new homes myrtle beach	C
www.newhomesource.com/communities/ca/riverside-san-bernardino-area/ontario	989	0.24	111	3	1	new homes ontario ca	C
www.newhomesource.com/communities/ca/riverside-san-bernardino-area/menifee	985	0.24	100	3	2	menifee homes for sale	C
www.newhomesource.com/communities/nv/las-vegas-area/henderson	984	0.24	172	5	13	new home construction henderson nv	C
www.newhomesource.com/communities/fl/jacksonville-st.-augustine-area/jacksonville	903	0.22	417	7	7	new subdivisions near me	C
www.newhomesource.com/communities/ut/salt-lake-city-ogden-area/salt-lake-city	885	0.21	124	2	0	new homes in salt lake city utah	C
www.newhomesource.com/communities/az/phoenix-mesa-area/phoenix	877	0.21	253	1	4	phoenix az new home	C
www.newhomesource.com/communities/ca/riverside-san-bernardino-area/temecula	871	0.21	149	1	1	new homes temecula	C
www.newhomesource.com/communities/tx/fort-worth-area	866	0.21	273	1	12	new builds fort worth	C
www.newhomesource.com/communities/ca/sacramento-area	857	0.20	382	2	8	new homes sacramento	C
www.newhomesource.com/communities/ca/riverside-san-bernardino-area/riverside	849	0.20	142	2	3	new homes in riverside	C
www.newhomesource.com/communities/tx/san-antonio-area	805	0.19	504	9	53	new home developments in san antonio	C
www.newhomesource.com/communities/ca/sacramento-area/roseville	803	0.19	202	2	3	new homes in roseville ca	C
www.newhomesource.com/communities/ca/san-francisco-area	797	0.19	167	3	6	new homes bay area	C
www.newhomesource.com/condos-townhomes/ca/los-angeles-area	789	0.19	161	4	0	new townhomes	C
www.newhomesource.com/communities/co/denver-area	782	0.19	358	6	14	new home construction denver	C
www.newhomesource.com/communities/ca/los-angeles-area/santa-clarita	763	0.18	60	1	3	new home builders santa clarita	C
www.newhomesource.com/communities/fl/tampa-st.-petersburg-area/tampa	749	0.18	194	3	4	new home developments in tampa	C
www.newhomesource.com/communities/az/phoenix-mesa-area/chandler	742	0.18	73	4	3	new home construction chandler	C
www.newhomesource.com/communities/fl/orlando-area/clermont	731	0.17	83	2	1	new houses in clermont	C
www.newhomesource.com/communities/ga/atlanta-area/cumming	703	0.17	57	2	4	new homes in cumming ga	C
www.newhomesource.com/communities/tx/dallas-area/frisco	701	0.17	141	2	7	new construction homes frisco tx	C
www.newhomesource.com/communities/fl	693	0.16	160	2	0	new home construction	C
www.newhomesource.com/communities/co/colorado-springs-area	680	0.16	185	2	6	new homes colorado springs	C
www.newhomesource.com/communities/ca/fresno-area	673	0.16	359	0	3	fresno new homes	C
www.newhomesource.com/learn/best-suburbs-san-francisco-ca/	669	0.16	208	60	3	san francisco suburbs	I
www.newhomesource.com/communities/az/phoenix-mesa-area/queen-creek	667	0.16	90	7	4	new houses queen creek	C
www.newhomesource.com/communities/tx/austin-area/leander	662	0.16	96	2	3	new houses in leander	C
www.newhomesource.com/communities/ca/stockton-lodi-area/mountain-house	648	0.15	83	2	1	mountain house ca houses	C
www.newhomesource.com/communities/fl/miami-dade-county-area	646	0.15	161	4	5	new homes in miami dade county	C
www.newhomesource.com/communities/fl/martin-st.-lucie-okeechobee-counties-area/port-saint-lucie	642	0.15	103	3	34	new construction port st lucie	C
www.newhomesource.com/condos-townhomes/fl/orlando-area	624	0.15	120	2	1	buy townhouse in orlando	C
www.newhomesource.com/communities/az/phoenix-mesa-area/scottsdale	619	0.15	183	5	4	new houses in scottsdale	C
www.newhomesource.com/communities/ca/riverside-san-bernardino-area/fontana	617	0.15	110	4	3	fontana new homes	C
www.newhomesource.com/communities/ca/sacramento-area/folsom	616	0.15	113	5	2	folsom ranch new homes	C
www.newhomesource.com/communities/fl/palm-beach-county-area/west-palm-beach	604	0.14	80	4	3	new construction west palm beach	C
www.newhomesource.com/communities/ca/sacramento-area/rancho-cordova	604	0.14	84	2	4	new construction homes rancho cordova	C
www.newhomesource.com/communities/tx/dallas-area/plano	597	0.14	187	3	16	new builders in plano tx	C
www.newhomesource.com/communities/ca/fresno-area/clovis	593	0.14	93	4	1	new homes fresno clovis ca	C
www.newhomesource.com/communities/nv/reno-area	588	0.14	207	10	4	new homes reno	C
www.newhomesource.com/communities/nc/raleigh-durham-chapel-hill-area/chapel-hill	587	0.14	69	1	1	new home construction chapel hill nc	C
www.newhomesource.com/communities/fl/palm-beach-county-area/boca-raton	565	0.13	93	3	3	new homes in boca raton	C
www.newhomesource.com/communities/ca/san-diego-area/chula-vista	561	0.13	52	1	0	new homes chula vista	C
www.newhomesource.com/communities/ca/oakland-alameda-area/fremont	560	0.13	57	0	2	new homes fremont ca	C
www.newhomesource.com/communities/ga/atlanta-area/alpharetta	558	0.13	67	1	3	new home construction alpharetta	C
www.newhomesource.com/communities/az/phoenix-mesa-area/mesa	554	0.13	88	1	3	new home construction in mesa	C
www.newhomesource.com/communities/ca/riverside-san-bernardino-area/chino	550	0.13	50	0	2	new houses in chino ca	C
www.newhomesource.com/condos-townhomes/nv/las-vegas-area	543	0.13	122	2	1	new townhomes las vegas	C
www.newhomesource.com/communities/ca/riverside-san-bernardino-area/corona	543	0.13	64	8	1	new homes in corona ca	C
www.newhomesource.com/learn/best-neighborhoods-indianapolis-in/	541	0.13	188	41	0	indinapolis	I
www.newhomesource.com/learn/most-affordable-cities-florida/	531	0.12	244	58	21	most affordable cities in florida	I
www.newhomesource.com/communities/nc/raleigh-durham-chapel-hill-area/apex	517	0.12	96	4	2	new homes apex nc	C
www.newhomesource.com/communities/az/phoenix-mesa-area/gilbert	509	0.12	79	7	2	new homes gilbert	C
www.newhomesource.com/communities/tx/fort-worth-area/arlington	500	0.12	65	2	12	new home construction arlington tx	C
www.newhomesource.com/learn/victorian-style-house/	499	0.12	183	49	2	victorian mansion	I
www.newhomesource.com/communities/az/tucson-area	497	0.12	197	5	5	new construction homes tucson	C
www.newhomesource.com/communities/sc/myrtle-beach-area/conway	493	0.12	39	3	4	new homes conway sc	C
www.newhomesource.com/communities/fl/naples-area	493	0.12	108	2	8	new home construction naples fl	C
www.newhomesource.com/communities/ca/riverside-san-bernardino-area/eastvale	490	0.11	105	1	0	homes for sale in eastvale ca	C
www.newhomesource.com/communities/ca/orange-county-area/irvine	485	0.11	177	6	2	new housing developments irvine	C
www.newhomesource.com/learn/best-suburbs-savannah-ga/	483	0.11	148	45	0	towns near savannah ga	I
www.newhomesource.com/communities/fl/lakeland-winter-haven-area/davenport	480	0.11	47	2	1	new construction davenport fl	C
www.newhomesource.com/learn/best-suburbs-los-angeles/	480	0.11	135	29	3	la suburbs	I
www.newhomesource.com/communities/tx/dallas-area/prosper	479	0.11	127	0	5	new homes in prosper tx	C
www.newhomesource.com/communities/ut/salt-lake-city-ogden-area/plain-city	478	0.11	8	1	0	new home community plain city ut	C
www.newhomesource.com/condos-townhomes/pa/philadelphia-area/montgomery-county	476	0.11	51	2	0	new townhomes near me	T
www.newhomesource.com/learn/best-suburbs-near-nashville-tennessee/	475	0.11	172	67	3	nashville suburbs	I
www.newhomesource.com/communities/tx/dallas-area/mckinney	471	0.11	145	3	3	mckinney new homes	C
www.newhomesource.com/builders/fl/orlando-area	467	0.11	185	2	4	new home builder	C
www.newhomesource.com/communities/fl/broward-county-ft.-lauderdale-area	461	0.11	71	3	5	new construction broward county	C
www.newhomesource.com/communities/sc/charleston-area/mount-pleasant	451	0.11	42	1	1	new construction mt pleasant sc	C
www.newhomesource.com/builders/tx/dallas-area	451	0.11	323	9	7	new home builders dallas	C
www.newhomesource.com/communities/nc/wilmington-area	445	0.10	106	5	2	new home construction wilmington	C
www.newhomesource.com/learn/best-suburbs-cleveland-ohio/	444	0.10	128	43	10	cleveland suburbs	I
www.newhomesource.com/communities/ca/san-jose-area	438	0.10	144	2	4	new home construction services in san jose	C
www.newhomesource.com/builders/tx/san-antonio-area	438	0.10	506	11	4	home building companies san antonio	C
www.newhomesource.com/communities/nc/raleigh-durham-chapel-hill-area/cary	438	0.10	84	1	0	new construction homes cary nc	C
www.newhomesource.com/community/tx/san-antonio/meadows-at-oak-creek-by-davidson-homes/211905	434	0.10	7	0	0	davidsons west	N|I
www.newhomesource.com/communities/ca/san-diego-area/carlsbad	433	0.10	43	2	2	carlsbad new homes	C
www.newhomesource.com/communities/ga	431	0.10	135	1	0	new home builds	C
www.newhomesource.com/learn/stucco-siding/	430	0.10	115	43	2	stucco house	I
www.newhomesource.com/communities/ca	426	0.10	290	3	0	ca new homes	C
www.newhomesource.com/communities/nv/las-vegas-area?communityname=summerlin	423	0.10	170	0	8	new home construction summerlin	C
www.newhomesource.com/communities/wa/seattle-bellevue-area	418	0.10	161	7	14	seattle new home construction	C
www.newhomesource.com/learn/best-suburbs-raleigh/	414	0.10	108	29	1	suburbs of raleigh nc	C
www.newhomesource.com/communities/tx/houston-area?pricehigh=200000	404	0.09	172	18	12	new homes near me under 200k	C
www.newhomesource.com/builders/il/chicago-area	381	0.09	188	3	3	chicago home builders	C
www.newhomesource.com/communities/il/chicago-area	370	0.09	236	4	23	new home developments chicago	C
www.newhomesource.com/builders/tx/houston-area	363	0.08	388	11	15	houston home builders	C
www.newhomesource.com/learn/cost-to-build-house-per-square-foot/	251	0.06	1600	186	57	price per sq feet	I
www.newhomesource.com/reviews	229	0.05	337	23	142	home builder reviews	C
www.newhomesource.com/builder/pulte-homes/about/3	283	0.06	306	12	8	pulte homes	N
www.newhomesource.com/on-your-lot/ga/atlanta-area/gwinnett-county	211	0.05	244	0	0	local home builders	T
www.newhomesource.com/learn/difference-between-condo-townhome/	218	0.05	148	67	4	condo vs townhouse	I
www.newhomesource.com/news/home-design-trends/2026-interior-design-trends-shaping-new-construction-homes/	274	0.06	35	320	56	new home and	I
note: ~230 more rows in paste follow the identical URL-pattern mix (/communities/{state}/{metro}[/{city}], /condos-townhomes/, /builders/, /builder/{name}/about/{id}, /learn/, faceted ?pricehigh= ?inventory= ?communityname=). Traffic tail 200-450 each. Full paste retained in chat log 2026-07-13.
