keyword,intents,position,serp_features,traffic,traffic_pct,volume,kd_pct,url
ritz carlton florida south beach,I,67,8,0,0.0,4400,52,miamiresidential.com/ritzcarltonsouthbeach/
brick and ivy,N,59,5,0,0.0,4400,33,miamiresidential.com/theivy
ritz key biscayne,I,24,8,3,0.01,4400,44,miamiresidential.com/ritzcarltonkeybiscayne/
pearl house,N,,6,114,0.45,4400,34,miamiresidential.com/pearlhouse/
amli midtown miami,N,52,5,0,0.0,4400,33,miamiresidential.com/midtownpark/
society wynwood,I,62,6,0,0.0,4400,16,miamiresidential.com/
the setai south beach miami,I|N,20,8,0,0.0,4400,51,miamiresidential.com/setai/
harbour harbour,I,61,5,0,0.0,4400,24,miamiresidential.com/harbour-park/
the ritz carlton coconut grove miami,I,71,8,0,0.0,4400,46,miamiresidential.com/ritzcarltoncoconutgrove/
waldorf astoria miami,I,23,7,3,0.01,4400,33,miamiresidential.com/waldorfastoriamiami/
miro brickell,I|T,70,7,0,0.0,3600,26,miamiresidential.com/
miro brickell,I|T,43,7,0,0.0,3600,26,miamiresidential.com/mybrickell/
delano in south beach fl,I,52,9,0,0.0,3600,44,miamiresidential.com/delanosouthbeach/
bay house,N,40,7,0,0.0,3600,40,miamiresidential.com/bayhouse/
flow miami,N,20,7,0,0.0,3600,44,miamiresidential.com/flowhouse/
aston martin residences miami,N,3,5,50,0.2,3600,40,miamiresidential.com/astonmartin
hotel ritz key biscayne,I,35,7,1,0.0,3600,41,miamiresidential.com/ritzcarltonkeybiscayne/
sereno,I,15,6,10,0.04,3600,46,miamiresidential.com/sereno
opera tower miami,C,8,5,79,0.31,3600,18,miamiresidential.com/operatower
aston martin residences,N,59,6,0,0.0,3600,33,miamiresidential.com/aston-martin/
aston martin residences,N,49,6,0,0.0,3600,33,miamiresidential.com/aston-martin/
aston martin residences,N,5,6,36,0.14,3600,33,miamiresidential.com/astonmartin
condos miami brickell,C,58,3,0,0.0,3600,32,miamiresidential.com/miami-condo/brickell/
condos miami brickell,C,44,3,1,0.0,3600,32,miamiresidential.com/miami-condo/brickell/
condos miami brickell,C,24,3,5,0.02,3600,32,miamiresidential.com/duamiami/
midtown park,T,64,5,0,0.0,3600,32,miamiresidential.com/es/midtownpark/
midtown park,T,16,5,10,0.04,3600,32,miamiresidential.com/midtownpark/
madison st,I,46,7,1,0.0,3600,8,miamiresidential.com/themadison
key biscayne ritz carlton,I,26,10,0,0.0,3600,50,miamiresidential.com/ritzcarltonkeybiscayne/
reach brickell,I,82,7,0,0.0,3600,21,miamiresidential.com/
reach brickell,I,39,7,1,0.0,3600,21,miamiresidential.com/es/ReachBCC
reach brickell,I,7,7,108,0.43,3600,21,miamiresidential.com/ReachBCC
paramount miami world,I,16,6,5,0.02,3600,23,miamiresidential.com/paramount/
midtown miami,C,36,8,1,0.0,3600,37,miamiresidential.com/midtownpark/
2000 biscayne,N,31,7,0,0.0,3600,35,miamiresidential.com/
terrazul miami,N|T,49,6,0,0.0,3600,19,miamiresidential.com/
parkside residences,N,31,8,0,0.0,3600,23,miamiresidential.com/parksidebrickell/
miami mls,I|N,18,6,1,0.0,3600,76,miamiresidential.com/property-search/
mandarin oriental miami miami fl,I,76,7,0,0.0,3600,53,miamiresidential.com/mandarinhotel/
mandarin oriental miami miami fl,I,22,7,0,0.0,3600,53,miamiresidential.com/mandarinresidences/
icon brickell,C,85,8,0,0.0,3600,32,miamiresidential.com/
icon brickell,C,52,8,0,0.0,3600,32,miamiresidential.com/wmiami/
downtown 5th,I,67,6,0,0.0,3600,24,miamiresidential.com/district225/
madison's st.,C|I,37,5,2,0.0,3600,23,miamiresidential.com/themadison
flamingo point,N,32,7,0,0.0,3600,34,miamiresidential.com/flamingosouthbeach/
opera tower,I|T,23,8,2,0.0,3600,17,miamiresidential.com/operatower
amli wynwood,N,65,5,0,0.0,2900,31,miamiresidential.com/
gio midtown,N,58,6,0,0.0,2900,33,miamiresidential.com/
ritz carlton key biscayne fl,I,24,8,0,0.0,2900,46,miamiresidential.com/ritzcarltonkeybiscayne/
atelier apt,I|T,46,8,0,0.0,2900,45,miamiresidential.com/ateliermiami/
mandarin hotel miami,I,54,9,0,0.0,2900,50,miamiresidential.com/mandarinresidences/
mandarin hotel miami,I,22,9,0,0.0,2900,50,miamiresidential.com/mandarinhotel/
remi on the river,I|N,54,7,0,0.0,2900,30,miamiresidential.com/
aqualina,N|T,27,7,0,0.0,2900,50,miamiresidential.com/acqualina
aqualina,N|T,25,7,0,0.0,2900,50,miamiresidential.com/acqualina
flow miami apartments,N,13,8,0,0.0,2900,35,miamiresidential.com/flowhouse/
miami condo investments,N,19,5,0,0.0,2900,47,miamiresidential.com/
miami condo investments,N,16,5,0,0.0,2900,47,miamiresidential.com/
canvas miami,I,3,6,188,0.75,2900,22,miamiresidential.com/canvas
downtown 1st,I,68,8,0,0.0,2900,25,miamiresidential.com/loftdowntowni/
downtown 1st,I,66,8,0,0.0,2900,25,miamiresidential.com/loftdowntowni/
downtown 1st,I,28,8,2,0.0,2900,25,miamiresidential.com/501first
apartment building miami fl,C,60,5,0,0.0,2900,65,miamiresidential.com/neolofts/
apartment building miami fl,C,47,5,0,0.0,2900,65,miamiresidential.com/
apartment building miami fl,C,35,5,2,0.0,2900,65,miamiresidential.com/
bay village miami,I,55,9,0,0.0,2900,38,miamiresidential.com/miami-condo/north-bay-village/
bay village miami,I,29,9,0,0.0,2900,38,miamiresidential.com/paganinbv/
umiami canvas,I,6,5,87,0.34,2900,30,miamiresidential.com/canvas
umiami canvas,I,,5,20,0.08,2900,30,miamiresidential.com/canvas
miami penthouse,I,7,7,8,0.03,2900,14,miamiresidential.com/top10penthouses/
the baie,I,51,8,0,0.0,2900,48,miamiresidential.com/labaianorth/
the ritz carlton key biscayne,I,35,7,0,0.0,2900,54,miamiresidential.com/ritzcarltonkeybiscayne/
condominio,I,58,7,0,0.0,2900,34,miamiresidential.com/
continuum condominium south beach,I,67,6,0,0.0,2900,19,miamiresidential.com/es/continuumsouthbeach
continuum condominium south beach,I,13,6,4,0.01,2900,19,miamiresidential.com/continuumsouthbeach/
hyde midtown,C,69,6,0,0.0,2900,24,miamiresidential.com/es/hyde-midtown/
hyde midtown,C,17,6,8,0.03,2900,24,miamiresidential.com/hyde-midtown/
sls lux miami,T,76,7,0,0.0,2900,32,miamiresidential.com/duamiami/
sls lux miami,T,10,7,11,0.04,2900,32,miamiresidential.com/slslux/
sls brickell,I,65,8,0,0.0,2900,34,miamiresidential.com/duamiami/
sls brickell,I,12,8,14,0.05,2900,34,miamiresidential.com/slslux/
1010 brickell,C|I,13,5,14,0.05,2900,24,miamiresidential.com/1010brickell/
forma miami,N,50,6,0,0.0,2900,36,miamiresidential.com/
mr c coconut grove,I|N,21,8,0,0.0,2900,49,miamiresidential.com/mrcresidences
wynwood haus,N,56,7,0,0.0,2400,25,miamiresidential.com/
sls lux brickell miami,C,84,7,0,0.0,2400,37,miamiresidential.com/duamiami/
equinox brickell miami fl,N,16,5,1,0.0,2400,33,miamiresidential.com/news/equinox-fitness-chain-is-taking-the-over-the-industry-and-will-be-part-of-brickell-heights/
quantum on the bay,I,89,7,0,0.0,2400,19,miamiresidential.com/
quantum on the bay,I,15,7,7,0.02,2400,19,miamiresidential.com/quantum
carillion,I,64,7,0,0.0,2400,38,miamiresidential.com/carillionnorth
resia golden glades,I|N,67,8,0,0.0,2400,30,miamiresidential.com/
resia golden glades,I|N,66,8,0,0.0,2400,30,miamiresidential.com/
brickell on the river,I|T,92,5,0,0.0,2400,13,miamiresidential.com/
brickell on the river,I|T,86,5,0,0.0,2400,13,miamiresidential.com/flowbrickell/
brickell on the river,I|T,78,5,0,0.0,2400,13,miamiresidential.com/theivy
brickell on the river,I|T,66,5,0,0.0,2400,13,miamiresidential.com/brickellriver/
brickell on the river,I|T,30,5,1,0.0,2400,13,miamiresidential.com/brickellontheriver
brickell on the river,I|T,4,5,156,0.62,2400,13,miamiresidential.com/brickellontheriversouth
ivy tower,I,37,7,0,0.0,2400,9,miamiresidential.com/theivy
amara wynwood,N,51,6,0,0.0,2400,33,miamiresidential.com/
flamingo south beach,N,66,7,0,0.0,2400,25,miamiresidential.com/es/flamingosouthbeach/
flamingo south beach,N,14,7,1,0.0,2400,25,miamiresidential.com/flamingosouthbeach/
prime one twelve in miami,N,83,6,0,0.0,2400,47,miamiresidential.com/cloudoneresidences/
prime one twelve in miami,N,73,6,0,0.0,2400,47,miamiresidential.com/es/onewest12/
prime one twelve in miami,N,58,6,0,0.0,2400,47,miamiresidential.com/onewest12/
miami population 2025,I,69,4,0,0.0,2400,40,miamiresidential.com/news/miamis-population-continues-growing-is-one-of-the-major-metropolitan-areas-of-usa/
sls brickell miami,I|T,22,6,3,0.01,2400,40,miamiresidential.com/duamiami/
miami metro population,I,47,5,0,0.0,2400,40,miamiresidential.com/news/miamis-population-continues-growing-is-one-of-the-major-metropolitan-areas-of-usa/
ritz carlton biscayne bay,I,31,9,0,0.0,2400,49,miamiresidential.com/ritzcarltonkeybiscayne/
ritz carlton biscayne bay,I,,9,8,0.03,2400,49,miamiresidential.com/ritzcarltonkeybiscayne/
icon brickell fl,C,61,7,0,0.0,2400,34,miamiresidential.com/wmiami/
icon brickell fl,C,23,7,3,0.01,2400,34,miamiresidential.com/iconbrickell
continuum south beach,I,80,7,0,0.0,2400,19,miamiresidential.com/es/continuumsouthbeach
continuum south beach,I,43,7,0,0.0,2400,19,miamiresidential.com/continuum2
continuum south beach,I,40,7,0,0.0,2400,19,miamiresidential.com/continuum2
continuum south beach,I,16,7,3,0.01,2400,19,miamiresidential.com/continuumsouthbeach/
missoni baia,I,88,6,0,0.0,2400,18,miamiresidential.com/
missoni baia,I,13,6,3,0.01,2400,18,miamiresidential.com/missonibaia
vox miami,I|N,53,7,0,0.0,2400,26,miamiresidential.com/
brickell key miami,I,38,8,0,0.0,2400,44,miamiresidential.com/miami-condo/brickell-key/
sls miami,I|T,25,7,1,0.0,2400,34,miamiresidential.com/slslux/
eleven downtown miami,I,35,8,0,0.0,2400,37,miamiresidential.com/es/e11evenresidences
eleven downtown miami,I,5,8,14,0.05,2400,37,miamiresidential.com/e11evenresidences
ocean terrace condominiums,C,24,6,3,0.01,2400,28,miamiresidential.com/oceanterracemiamibeach/
modera station miami fl,N,74,5,0,0.0,2400,34,miamiresidential.com/
porsche design tower,T,72,8,0,0.0,2400,31,miamiresidential.com/es/porschetower
porsche design tower,T,1,8,196,0.78,2400,31,miamiresidential.com/porschetower
eden house,C,22,8,3,0.01,2400,43,miamiresidential.com/edenhouse/
eden house,C,17,8,3,0.01,2400,43,miamiresidential.com/edenhouse/
club aqua miami miami fl,I|T,35,6,0,0.0,2400,13,miamiresidential.com/aqua/
fisher island miami,I,43,9,0,0.0,2400,67,miamiresidential.com/sixfisherisland/
sls brickell miami florida,I|T,28,6,1,0.0,2400,30,miamiresidential.com/duamiami/
aria reserve,C,14,6,12,0.04,2400,12,miamiresidential.com/ariareserve/
aventura apartments,N,81,6,0,0.0,2400,60,miamiresidential.com/aventuraplace/
aventura apartments,N,79,6,0,0.0,2400,60,miamiresidential.com/aventuraplace/
aventura apartments,N,37,6,0,0.0,2400,60,miamiresidential.com/aventura-park-square/
flat miami,I,32,6,1,0.0,2400,57,miamiresidential.com/neolofts/
paramount miami world center,I,14,7,7,0.02,2400,21,miamiresidential.com/paramount/
bay parc apartments,N,67,6,0,0.0,2400,32,miamiresidential.com/bayparktowers/
830 brickell,N,78,7,0,0.0,2400,20,miamiresidential.com/
terrenos en venta,I,40,5,0,0.0,2400,12,miamiresidential.com/es/terrenos/
maizon brickell,N,63,6,0,0.0,2400,31,miamiresidential.com/
maizon brickell,N,53,6,0,0.0,2400,31,miamiresidential.com/mybrickell/
the elser miami,I|N,19,9,0,0.0,2400,45,miamiresidential.com/theelser
hotel mandarin oriental miami,C,56,6,0,0.0,2400,53,miamiresidential.com/mandarinresidences/
mercedes benz miami,N,43,8,0,0.0,2400,35,miamiresidential.com/mercedesbenzplaces/
