keyword,intents,position,serp_features,traffic,traffic_pct,volume,kd_pct,url
loft downtown,C,,6,42,0.16,170,21,miamiresidential.com/loftdowntowni/
le parc at brickell,I,2,5,42,0.16,320,6,miamiresidential.com/leparcatbrickell
terrazas river park village,I,1,5,42,0.16,170,15,miamiresidential.com/terrazasmiami/
the loft condo,C,,5,42,0.16,170,7,miamiresidential.com/loftdowntowni/
the loft i,I|T,1,6,42,0.16,170,7,miamiresidential.com/loftdowntowni/
terrazas miami,I,1,5,42,0.16,170,20,miamiresidential.com/terrazasmiami/
one paraiso edgewater,I|T,2,7,42,0.16,320,7,miamiresidential.com/oneparaiso
azure condominium,C,1,6,42,0.16,320,16,miamiresidential.com/azure
porsche condo miami,I|T,1,7,42,0.16,170,29,miamiresidential.com/porschetower
one thousand museum photos,I|T,1,7,42,0.16,170,24,miamiresidential.com/1000museum
72 carlyle,I|T,2,6,42,0.16,320,8,miamiresidential.com/72carlyle/
one park tower,N,2,7,41,0.16,1600,14,miamiresidential.com/oneparktowerturnberry
the club bay harbor,T,1,5,40,0.16,50,7,miamiresidential.com/theclubcondo/
neo loft miami,T,1,4,40,0.16,50,,miamiresidential.com/neolofts/
grovenor house,I,3,5,39,0.15,480,8,miamiresidential.com/grovenorhouse/
vista harbor,C,3,5,39,0.15,480,7,miamiresidential.com/vistaharbor/
bayshore yacht and tennis club,C,1,3,39,0.15,480,8,miamiresidential.com/bayshoreyachtandtennisclub/
departamentos a la venta en miami,C,3,2,39,0.15,480,3,miamiresidential.com/es/
fendi chateu,I|T,3,6,39,0.15,480,16,miamiresidential.com/fendichateau
cipriani residences,I|T,5,6,38,0.15,880,26,miamiresidential.com/ciprianiresidences
quantum on the bay miami,I,4,7,38,0.15,590,15,miamiresidential.com/quantum
skyline on brickell,I,4,5,38,0.15,880,8,miamiresidential.com/skylineonbrickell/
portofino tower,I|T,6,6,38,0.15,1600,18,miamiresidential.com/portofinotower/
ponce circle park,I,5,5,38,0.15,880,24,miamiresidential.com/ponceparkresidences/
aventura yacht club florida,I,8,5,38,0.15,1600,8,miamiresidential.com/yachtclubataventura/
portofino tower south beach,I|T,4,7,38,0.15,590,17,miamiresidential.com/portofinotower/
porsche design tower miami sales center,T,2,7,38,0.15,590,20,miamiresidential.com/porschetower
aston martin residences,N,5,6,36,0.14,3600,33,miamiresidential.com/astonmartin
reach brickell city centre parking lot,C,8,5,35,0.14,1600,17,miamiresidential.com/ReachBCC
mint miami,C,3,6,35,0.14,1000,10,miamiresidential.com/mint
nirvana condominium,N|T,6,5,35,0.14,1000,8,miamiresidential.com/nirvanacondos/
50 biscayne building,I|T,10,6,35,0.14,1600,22,miamiresidential.com/50biscayne
icon beach,I|T,2,7,34,0.13,260,15,miamiresidential.com/iconhollywoodcondo/
the elder residences miami,I|T,2,7,34,0.13,260,14,miamiresidential.com/theelser
the loft miami,C,,5,34,0.13,140,26,miamiresidential.com/loftdowntowni/
my brickell apartments,I|T,2,4,34,0.13,260,7,miamiresidential.com/mybrickell/
miami residential,N,2,8,34,0.13,260,66,miamiresidential.com/
river district 14,N,2,5,34,0.13,260,13,miamiresidential.com/14riverdistrict/
apartamento en venta en miami,C,1,3,34,0.13,140,17,miamiresidential.com/es/
aventura parksquare residences,I,1,7,34,0.13,140,12,miamiresidential.com/aventura-park-square/
porsche building,C,1,8,34,0.13,260,29,miamiresidential.com/porschetower
l'atelier miami beach,I,1,6,34,0.13,140,10,miamiresidential.com/latelier/
avenia,I,2,4,34,0.13,260,19,miamiresidential.com/avenia/
paseos via ventura by lennar,I,1,5,34,0.13,140,10,miamiresidential.com/viaventuralennarhomes/
terrazas miami fl,I,1,5,34,0.13,140,20,miamiresidential.com/terrazasmiami/
new housing developments in miami,C,1,3,34,0.13,140,36,miamiresidential.com/new-developments/
o residences,I|T,1,4,34,0.13,140,6,miamiresidential.com/o-residences
the bath club residences,I,1,6,34,0.13,140,11,miamiresidential.com/thebathclub
skyline brickell,I,4,7,31,0.12,480,8,miamiresidential.com/skylineonbrickell/
the wind condominium wind by neo,I|T,3,6,31,0.12,390,11,miamiresidential.com/windbyneo
sonesta miami coconut,I|T,4,5,31,0.12,720,19,miamiresidential.com/sonestahotelcoconutgrove/
ocean blue apartments,C,,4,31,0.12,390,22,miamiresidential.com/oceanblue/
ora by casa tua,C,4,4,31,0.12,480,6,miamiresidential.com/oracasatua
midtown doral,C,3,4,31,0.12,480,8,miamiresidential.com/miami-condo/doral-miami/midtown-doral/
the palace condo miami,I,3,4,31,0.12,390,15,miamiresidential.com/palaceonbrickell/
sonesta miami hotel coconut grove,I|T,4,5,31,0.12,720,16,miamiresidential.com/sonestahotelcoconutgrove/
shoma bay,I|T,4,6,31,0.12,480,11,miamiresidential.com/shomabay/
cite on the bay,I|T,4,6,31,0.12,480,7,miamiresidential.com/citeonthebay
1000 museum,I|T,5,8,30,0.12,880,25,miamiresidential.com/1000museum
neo vertika miami,I,7,5,30,0.12,1000,12,miamiresidential.com/neovertika/
900 biscayne bay miami fl 33132,C|I,5,3,30,0.12,880,13,miamiresidential.com/900biscaynebay
gale miami,I|T,5,6,30,0.12,1000,24,miamiresidential.com/galemiami/
infinity at brickell,I,,6,28,0.11,1600,19,miamiresidential.com/infinitybrickell
neo vertika brickell miami,I,10,6,28,0.11,1300,12,miamiresidential.com/neovertika/
new developments miami,C,1,3,27,0.1,110,17,miamiresidential.com/new-developments/
mandarin oriental miami residences,I,2,9,27,0.1,210,15,miamiresidential.com/mandarinresidences/
tula residences miami,I,1,6,27,0.1,110,11,miamiresidential.com/tularesidences/
terrazas riverpark village,I,1,5,27,0.1,110,15,miamiresidential.com/terrazasmiami/
tequesta brickell key,C,1,4,27,0.1,210,11,miamiresidential.com/twotequestapoint/
tula residences,I,1,5,27,0.1,110,22,miamiresidential.com/tularesidences/
26 edgewater miami fl,I|T,1,4,27,0.1,110,5,miamiresidential.com/26edgewater
one tequesta point condominium,I|T,2,5,27,0.1,210,9,miamiresidential.com/onetequestapoint/
l excellence,I|T,2,3,27,0.1,210,16,miamiresidential.com/lexcellence/
mirador miami,I|T,2,5,27,0.1,210,16,miamiresidential.com/miradornorthtower
grovenor house coconut grove,I,1,6,27,0.1,110,6,miamiresidential.com/grovenorhouse/
sereno bay harbour,I|T,1,6,27,0.1,110,5,miamiresidential.com/sereno
miami new developments,C,1,4,27,0.1,110,15,miamiresidential.com/new-developments/
terra beachside villas,I,2,5,27,0.1,210,6,miamiresidential.com/terrabeachsidevillas/
oceania island tower iv,I|T,2,5,27,0.1,210,5,miamiresidential.com/oceaniaiv/
the elser residences miami,I|T,2,5,27,0.1,210,9,miamiresidential.com/theelser
venta de apartamentos,I,1,5,27,0.1,210,2,miamiresidential.com/es/apartamentos-de-lujo/
icon beach hollywood,I|T,2,7,27,0.1,210,6,miamiresidential.com/iconhollywoodcondo/
paraiso one,I|T,2,4,27,0.1,210,,miamiresidential.com/oneparaiso
harbour house bal harbour,I,2,6,27,0.1,210,12,miamiresidential.com/harbourhouse
porsche miami tower,I|T,1,8,27,0.1,110,27,miamiresidential.com/porschetower
eloquence on the bay north bay village,C,2,4,27,0.1,210,6,miamiresidential.com/eloquenceonthebay/
gables club tower,I,1,4,27,0.1,110,5,miamiresidential.com/gablesclubtowerii/
miami porsche tower,C,1,8,27,0.1,110,20,miamiresidential.com/porschetower
